Date,Temperature,Temperature_lag1,Temperature_lag2,Temperature_lag3,Temperature_lag4,Temperature_lag5,Temperature_lag6,Temperature_lag7,Temperature_lag8,Temperature_lag9,Temperature_lag10,Temperature_lag11,Temperature_lag12,Temperature_lag13,Temperature_lag14,Temperature_lag15
2023-01-16,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002,-0.895,0.85499996,0.805,4.7549996,7.605,3.555
2023-01-17,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002,-0.895,0.85499996,0.805,4.7549996,7.605
2023-01-18,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002,-0.895,0.85499996,0.805,4.7549996
2023-01-19,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002,-0.895,0.85499996,0.805
2023-01-20,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002,-0.895,0.85499996
2023-01-21,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002,-0.895
2023-01-22,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755,3.2050002
2023-01-23,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455,9.755
2023-01-24,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999,9.455
2023-01-25,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355,1.4549999
2023-01-26,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605,6.355
2023-01-27,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605,0.605
2023-01-28,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495,2.605
2023-01-29,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996,-0.495
2023-01-30,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505,5.7549996
2023-01-31,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005,3.505
2023-02-01,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005,8.3550005
2023-02-02,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003,1.005
2023-02-03,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005,0.90500003
2023-02-04,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355,8.1050005
2023-02-05,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595,3.355
2023-02-06,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145,-2.595
2023-02-07,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195,-3.145
2023-02-08,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195,-1.195
2023-02-09,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355,-2.195
2023-02-10,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195,2.355
2023-02-11,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305,-1.195
2023-02-12,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945,0.305
2023-02-13,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395,-2.945
2023-02-14,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003,-3.395
2023-02-15,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004,-4.3450003
2023-02-16,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001,0.105000004
2023-02-17,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345,-1.2950001
2023-02-18,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001,-1.345
2023-02-19,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555,-1.2950001
2023-02-20,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445,2.555
2023-02-21,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245,-0.445
2023-02-22,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999,-0.245
2023-02-23,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405,1.2049999
2023-02-24,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996,3.405
2023-02-25,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001,0.85499996
2023-02-26,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195,-1.5450001
2023-02-27,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395,-1.195
2023-02-28,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755,-0.395
2023-03-01,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905,3.755
2023-03-02,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755,3.905
2023-03-03,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003,0.755
2023-03-04,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105,0.40500003
2023-03-05,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105,3.105
2023-03-06,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997,4.105
2023-03-07,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996,5.4049997
2023-03-08,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605,5.0049996
2023-03-09,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997,3.605
2023-03-10,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745,5.9049997
2023-03-11,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845,-1.745
2023-03-12,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095,-2.845
2023-03-13,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095,-3.095
2023-03-14,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004,-2.095
2023-03-15,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945,-4.2450004
2023-03-16,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998,-3.945
2023-03-17,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998,-2.5449998
2023-03-18,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245,-2.7949998
2023-03-19,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001,-1.245
2023-03-20,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997,-1.3950001
2023-03-21,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455,4.9049997
2023-03-22,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005,8.455
2023-03-23,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001,10.1050005
2023-03-24,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805,10.655001
2023-03-25,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505,7.805
2023-03-26,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001,8.505
2023-03-27,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305,9.905001
2023-03-28,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997,8.305
2023-03-29,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505,5.9049997
2023-03-30,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997,3.505
2023-03-31,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001,4.9049997
2023-04-01,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996,10.405001
2023-04-02,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205,5.5049996
2023-04-03,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002,4.205
2023-04-04,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105,3.7050002
2023-04-05,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997,5.105
2023-04-06,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997,5.4049997
2023-04-07,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001,6.9049997
2023-04-08,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255,8.905001
2023-04-09,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505,8.255
2023-04-10,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997,8.505
2023-04-11,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955,5.4049997
2023-04-12,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705,4.955
2023-04-13,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505,6.705
2023-04-14,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001,11.505
2023-04-15,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005,9.905001
2023-04-16,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155,9.8550005
2023-04-17,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905,3.155
2023-04-18,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055,2.905
2023-04-19,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405,6.055
2023-04-20,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997,3.405
2023-04-21,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455,5.9049997
2023-04-22,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955,5.455
2023-04-23,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055,6.955
2023-04-24,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455,8.055
2023-04-25,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055,10.455
2023-04-26,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005,10.055
2023-04-27,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605,10.005
2023-04-28,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505,6.605
2023-04-29,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755,9.505
2023-04-30,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005,9.755
2023-05-01,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005,9.3550005
2023-05-02,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705,8.3550005
2023-05-03,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005,7.705
2023-05-04,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005,8.6050005
2023-05-05,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205,10.3550005
2023-05-06,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955,11.205
2023-05-07,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755,11.955
2023-05-08,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005,8.755
2023-05-09,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555,11.1050005
2023-05-10,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005,12.555
2023-05-11,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505,12.8550005
2023-05-12,9.655001,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305,13.505
2023-05-13,7.905,9.655001,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001,15.305
2023-05-14,9.8550005,7.905,9.655001,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001,17.005001
2023-05-15,9.8550005,9.8550005,7.905,9.655001,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305,13.655001
2023-05-16,9.305,9.8550005,9.8550005,7.905,9.655001,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005,11.305
2023-05-17,8.6050005,9.305,9.8550005,9.8550005,7.905,9.655001,10.405001,13.055,17.555,13.405001,14.905001,11.505,11.805,15.005,14.1050005,12.6050005
